重庆本地,#genre#
CHC家庭影院,http://192.168.6.1:8000/udp/235.254.199.246:7980
CHC高清电影,http://192.168.6.1:8000/udp/235.254.199.248:7980
百姓健康,https://live.goodiptv.club/api/cqyx.php?id=jiankangSD#https://liveplay.xiaoeknow.com/live/5060_pyBeyjJ4RjcfhK7T.m3u8?time=1652436762565
中国交通,http://192.168.6.1:8000/udp/235.254.199.165:7980
中国天气,http://192.168.6.1:8000/udp/235.254.197.126:7980
CETV-1,http://192.168.6.1:8000/udp/235.254.199.196:7980
CETV-2,http://txycsbl.centv.cn/zb/0822cetv2.m3u8
CETV-3,http://txycsbl.centv.cn/zb/0822cetv3.m3u8
CETV-4,http://192.168.6.1:8000/udp/235.254.199.197:7980
早期教育,https://live.goodiptv.club/api/cqyx.php?id=zaojiaoHD
山东教育卫视,http://192.168.6.1:8000/udp/235.254.199.153:7980
茶频道,http://192.168.6.1:8000/udp/235.254.199.198:7980
乐  游,http://192.168.6.1:8000/udp/235.254.197.153:7980
书画频道,http://192.168.6.1:8000/udp/235.254.199.199:7980
国学频道,https://live.goodiptv.club/api/cqyx.php?id=guoxue#http://113.207.84.199:8090/__cl/cg:live/__c/guoxue/__op/default/__f/index.m3u8
金色学堂,http://192.168.6.1:8000/udp/235.254.197.157:7980
卡酷少儿,http://192.168.6.1:8000/udp/235.254.199.49:7980
动漫秀场,http://192.168.6.1:8000/udp/235.254.197.152:7980
金鹰卡通,http://192.168.6.1:8000/udp/235.254.199.50:7980
金鹰纪实,http://[2409:8087:3869:8021:1000::aa]:6610/PLTV/88888910/224/3221226198/index.m3u8
优漫卡通,http://[2409:8087:4400:20:1:a0f:11:9]/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226606/index.m3u8
哈哈炫动,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226213/index.m3u8
嘉佳卡通,http://192.168.6.1:8000/udp/235.254.199.110:7980
天元围棋,http://192.168.6.1:8000/udp/235.254.197.174:7980
游戏风云,http://192.168.6.1:8000/udp/235.254.197.159:7980
欢笑剧场,http://192.168.6.1:8000/udp/235.254.197.150:7980
都市剧场,http://192.168.6.1:8000/udp/235.254.197.151:7980
精彩影视,http://192.168.6.1:8000/udp/235.254.199.250:7980
北京影视,https://tv.fanmingming.com/api/bj?id=ys
4K影视,http://nas.jdshipin.com:8801/4kys.php
